timestamp,threadId,operationType,userAction,executionTime(ms),status,details,studentId
"2025-12-16 07:42:54.920","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 07:42:55.522","main","SYSTEM_INIT","System initialization complete",585,"SUCCESS","","null"
"2025-12-16 07:44:47.838","main","MENU_NAV","User selected option: 7",0,"SUCCESS","","null"
"2025-12-16 07:44:52.700","main","BULK_IMPORT","Bulk import from ",0,"SUCCESS","","null"
"2025-12-16 07:45:08.489","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-16 07:45:12.743","main","MENU_NAV","User selected option: 7",0,"SUCCESS","","null"
"2025-12-16 07:45:16.332","main","BULK_IMPORT","Bulk import from 2",0,"SUCCESS","","null"
"2025-12-16 07:45:28.377","main","MENU_NAV","User selected option: 7",0,"SUCCESS","","null"
"2025-12-16 07:45:32.464","main","BULK_IMPORT","Bulk import from 8",0,"SUCCESS","","null"
"2025-12-16 07:46:14.541","main","MENU_NAV","User selected option: 6",0,"SUCCESS","","null"
"2025-12-16 07:46:44.835","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 07:46:45.428","main","SYSTEM_INIT","System initialization complete",590,"SUCCESS","","null"
"2025-12-16 07:47:16.170","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-16 08:16:28.620","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 08:16:28.796","main","SYSTEM_INIT","System initialization complete",174,"SUCCESS","","null"
"2025-12-16 08:17:02.353","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-16 08:17:29.081","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 08:17:29.187","main","SYSTEM_INIT","System initialization complete",100,"SUCCESS","","null"
"2025-12-16 08:17:31.770","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-16 08:17:42.644","main","BATCH_REPORTS","Starting batch reports: 10 students, 5 threads, formats: pdf",0,"SUCCESS","","null"
"2025-12-16 08:23:10.452","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 08:23:10.585","main","SYSTEM_INIT","System initialization complete",127,"SUCCESS","","null"
"2025-12-16 08:23:22.998","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-16 08:23:30.912","main","BATCH_REPORTS","Starting batch reports: 10 students, 5 threads, formats: pdf",0,"SUCCESS","","null"
"2025-12-16 08:24:25.204","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-16 08:24:27.939","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-16 08:24:37.395","main","BATCH_REPORTS","Starting batch reports: 10 students, 6 threads, formats: pdf,text,excel",0,"SUCCESS","","null"
"2025-12-16 08:26:18.590","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-16 08:26:22.532","main","MENU_NAV","User selected option: 21",0,"SUCCESS","","null"
"2025-12-16 15:23:37.920","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 15:23:38.185","main","SYSTEM_INIT","System initialization complete",254,"SUCCESS","","null"
"2025-12-16 15:23:46.177","main","MENU_NAV","User selected option: 11",0,"SUCCESS","","null"
"2025-12-16 15:23:46.238","main","DASHBOARD","Started real-time dashboard",0,"SUCCESS","","null"
"2025-12-16 15:27:48.811","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 15:27:49.923","main","SYSTEM_INIT","System initialization complete",1092,"SUCCESS","","null"
"2025-12-16 15:29:18.257","main","MENU_NAV","User selected option: 7",0,"SUCCESS","","null"
"2025-12-16 15:29:38.106","main","BULK_IMPORT","Bulk import from alison_json",0,"SUCCESS","","null"
"2025-12-16 15:50:15.141","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 15:50:15.409","main","SYSTEM_INIT","System initialization complete",262,"SUCCESS","","null"
"2025-12-16 15:50:27.010","main","MENU_NAV","User selected option: 7",0,"SUCCESS","","null"
"2025-12-16 15:50:53.114","main","BULK_IMPORT","Bulk import from students_grades_10000",0,"SUCCESS","","null"
"2025-12-16 15:51:14.517","main","MENU_NAV","User selected option: 7",0,"SUCCESS","","null"
"2025-12-16 15:51:30.715","main","BULK_IMPORT","Bulk import from student_grades_10000",0,"SUCCESS","","null"
"2025-12-16 15:53:59.745","main","MENU_NAV","User selected option: 13",0,"SUCCESS","","null"
"2025-12-16 15:54:12.411","main","STREAM_ANALYTICS","Stream processing analytics: option 2",11,"SUCCESS","","null"
"2025-12-16 15:54:32.302","main","MENU_NAV","User selected option: 13",0,"SUCCESS","","null"
"2025-12-16 15:54:40.050","main","STREAM_ANALYTICS","Stream processing analytics: option 3",64,"SUCCESS","","null"
"2025-12-16 15:55:31.532","main","MENU_NAV","User selected option: 21",0,"SUCCESS","","null"
"2025-12-16 15:56:18.367","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 15:56:18.508","main","SYSTEM_INIT","System initialization complete",135,"SUCCESS","","null"
"2025-12-16 15:56:31.621","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-16 15:56:31.756","main","SYSTEM_INIT","System initialization complete",129,"SUCCESS","","null"
