timestamp,threadId,operationType,userAction,executionTime(ms),status,details,studentId
"2025-12-15 08:02:15.005","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 08:02:15.229","main","SYSTEM_INIT","System initialization complete",214,"SUCCESS","","null"
"2025-12-15 08:05:15.144","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-15 08:06:06.501","main","BATCH_REPORTS","Starting batch reports: 4 threads, type: all",0,"SUCCESS","","null"
"2025-12-15 08:06:31.254","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 08:08:07.156","main","MENU_NAV","User selected option: 13",0,"SUCCESS","","null"
"2025-12-15 08:08:17.060","main","STREAM_ANALYTICS","Stream processing analytics: option 1",3,"SUCCESS","","null"
"2025-12-15 08:08:30.454","main","MENU_NAV","User selected option: 13",0,"SUCCESS","","null"
"2025-12-15 08:08:32.476","main","STREAM_ANALYTICS","Stream processing analytics: option 1",0,"SUCCESS","","null"
"2025-12-15 08:12:50.623","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 08:12:50.859","main","SYSTEM_INIT","System initialization complete",224,"SUCCESS","","null"
"2025-12-15 08:16:13.194","main","MENU_NAV","User selected option: 18",0,"SUCCESS","","null"
"2025-12-15 08:16:13.199","main","SYSTEM_PERFORMANCE","Viewed system performance metrics",0,"SUCCESS","","null"
"2025-12-15 08:24:46.236","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 08:24:46.454","main","SYSTEM_INIT","System initialization complete",206,"SUCCESS","","null"
"2025-12-15 08:25:07.392","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 08:25:07.582","main","SYSTEM_INIT","System initialization complete",180,"SUCCESS","","null"
"2025-12-15 08:25:47.412","main","MENU_NAV","User selected option: _",0,"SUCCESS","","null"
"2025-12-15 08:26:20.297","main","MENU_NAV","User selected option: 1",0,"SUCCESS","","null"
"2025-12-15 08:30:11.836","main","ADD_STUDENT","Added student: STU011",231538,"SUCCESS","","STU011"
"2025-12-15 08:30:35.812","main","MENU_NAV","User selected option: 11",0,"SUCCESS","","null"
"2025-12-15 08:30:35.875","main","DASHBOARD","Started real-time dashboard",0,"SUCCESS","","null"
"2025-12-15 08:33:12.554","main","DASHBOARD","Stopped real-time dashboard",0,"SUCCESS","","null"
"2025-12-15 08:33:40.935","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-15 08:34:17.139","main","BATCH_REPORTS","Starting batch reports: 6 threads, type: json",0,"SUCCESS","","null"
"2025-12-15 08:37:20.287","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 08:37:39.111","main","MENU_NAV","User selected option: 15",0,"SUCCESS","","null"
"2025-12-15 08:38:12.438","main","PATTERN_SEARCH","Pattern search found 0 students",26768,"SUCCESS","","null"
"2025-12-15 08:38:29.216","main","MENU_NAV","User selected option: 15",0,"SUCCESS","","null"
"2025-12-15 08:43:09.557","main","PATTERN_SEARCH","Pattern search found 5 students",39642,"SUCCESS","","null"
"2025-12-15 08:44:03.274","main","MENU_NAV","User selected option: 17",0,"SUCCESS","","null"
"2025-12-15 08:45:15.089","main","SCHEDULED_TASK","Scheduled daily backup at 3:30",0,"SUCCESS","","null"
"2025-12-15 08:49:33.440","main","MENU_NAV","User selected option: 18",0,"SUCCESS","","null"
"2025-12-15 08:49:33.448","main","SYSTEM_PERFORMANCE","Viewed system performance metrics",0,"SUCCESS","","null"
"2025-12-15 08:50:28.986","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 08:54:04.852","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 09:27:19.751","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 09:27:20.018","main","SYSTEM_INIT","System initialization complete",252,"SUCCESS","","null"
"2025-12-15 09:27:31.912","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-15 09:33:32.981","main","BATCH_REPORTS","Starting batch reports: 10 students, 6 threads, formats: text",0,"SUCCESS","","null"
"2025-12-15 09:33:44.005","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 09:45:08.131","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 09:45:08.360","main","SYSTEM_INIT","System initialization complete",216,"SUCCESS","","null"
"2025-12-15 09:45:13.960","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-15 09:45:32.860","main","BATCH_REPORTS","Starting batch reports: 10 students, 5 threads, formats: pdf,text,excel",0,"SUCCESS","","null"
"2025-12-15 09:54:14.632","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-15 09:54:14.920","main","SYSTEM_INIT","System initialization complete",273,"SUCCESS","","null"
"2025-12-15 09:54:18.589","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-15 09:54:30.478","main","BATCH_REPORTS","Starting batch reports: 10 students, 5 threads, formats: pdf,text,excel",0,"SUCCESS","","null"
"2025-12-15 09:56:26.180","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 09:56:29.134","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
"2025-12-15 09:56:42.392","main","BATCH_REPORTS","Starting batch reports: 5 students, 1 threads, formats: text",0,"SUCCESS","","null"
"2025-12-15 09:57:31.681","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-15 09:57:35.040","main","MENU_NAV","User selected option: 12",0,"SUCCESS","","null"
