timestamp,threadId,operationType,userAction,executionTime(ms),status,details
"2025-12-12 16:03:56.697","main","SYSTEM","Application startup",0,"SUCCESS",""
"2025-12-12 16:03:56.838","main","DATA_INIT","Sample data initialization",99,"SUCCESS",""
"2025-12-12 16:04:39.569","main","MENU_NAV","User selected option: 10",0,"SUCCESS",""
"2025-12-12 16:04:39.607","main","VIEW_STATISTICS","Viewed class statistics",38,"SUCCESS",""
"2025-12-12 16:10:10.519","main","SYSTEM","Application startup",0,"SUCCESS",""
"2025-12-12 16:10:10.666","main","DATA_INIT","Sample data initialization",130,"SUCCESS",""
"2025-12-12 16:10:16.896","main","MENU_NAV","User selected option: 10",0,"SUCCESS",""
"2025-12-12 16:10:16.912","main","VIEW_STATISTICS","Viewed class statistics",16,"SUCCESS",""
"2025-12-12 16:21:31.736","main","SYSTEM","Application startup",0,"SUCCESS",""
"2025-12-12 16:21:32.073","main","DATA_INIT","Sample data initialization",218,"SUCCESS",""
"2025-12-12 16:21:50.385","main","MENU_NAV","User selected option: 2",0,"SUCCESS",""
"2025-12-12 16:22:00.382","main","MENU_NAV","User selected option: 3",0,"SUCCESS",""
"2025-12-12 16:22:05.571","main","RECORD_GRADE","Student not found: _",0,"ERROR","Student with ID '_' not found in the system."
"2025-12-12 16:22:30.933","main","MENU_NAV","User selected option: 1",0,"SUCCESS",""
"2025-12-12 16:24:48.636","main","ADD_STUDENT","Added student: STU006",137703,"SUCCESS",""
"2025-12-12 16:25:23.562","main","MENU_NAV","User selected option: 16",0,"SUCCESS",""
"2025-12-12 16:25:30.144","main","QUERY_GRADE_HISTORY","Queried grade history: option 4",0,"SUCCESS",""
"2025-12-12 16:25:45.785","main","MENU_NAV","User selected option: 17",0,"SUCCESS",""
"2025-12-12 16:25:57.920","main","SYSTEM_ERROR","Menu operation failed",0,"ERROR","For input string: ""_"""
"2025-12-12 16:26:41.654","main","MENU_NAV","User selected option: 19",0,"SUCCESS",""
"2025-12-12 16:26:51.727","main","CACHE","Caches warmed",0,"SUCCESS",""
"2025-12-12 16:27:08.320","main","MENU_NAV","User selected option: 20",0,"SUCCESS",""
"2025-12-12 16:27:32.593","main","MENU_NAV","User selected option: _",0,"SUCCESS",""
"2025-12-12 16:27:37.917","main","MENU_NAV","User selected option: 21",0,"SUCCESS",""
